机制编号,机制ID,机制名,分类,适用对象,触发,条件,参数默认,效果,日志模板,机制分,强度,状态,接入状态,宠物用,怪物用,事件用,波次用,备注
M00,none,无机制,占位,全部,无,无,{},不产生效果,{unit} 没有特殊机制。,0,无,正式,可接入,1,1,1,1,空机制
M01,mech_score_formula,效果分公式,数值,系统,data_validate,单位数值变化,{},效果分=HP+3*(攻+防)+5*(盾+行动)+机制分,{unit} 效果分校验为 {score}。,0,规则,正式,数据校验,1,1,1,1,
M02,mech_shield_regen,盾重生,防御,单位,round_end,shield_max>0,{},回合结束盾恢复到最大盾,{unit} 盾 {old}->{max}。,0,规则,正式,待接入,1,1,1,1,
M03,mech_move_free_field,我方移动自由领域,领域,英雄/阵营,battle_start,领域存在,"{""side"":""player""}",己方宠物移动不消耗行动力,我方英雄领域生效：己方宠物移动不消耗行动力。,0,高,正式,待接入,1,1,1,1,
M04,mech_attack_lock_after_attack,攻击后锁定,行动,单位,after_attack,单位已攻击,{},攻击后本回合不能再移动,{unit} 已攻击，本回合位置锁定。,0,规则,正式,待接入,1,1,1,1,
M05,mech_fire_core_domain,火脉爆心,领域/火,英雄/核心,battle_start,融焰娘上场,"{""threshold"":3}",火3层形成爆火；空格保留陷阱；敌方进入/站上触发；Σ(1..N)伤害后清零,火脉爆心触发：{cell} 火{layers}层爆发，造成{damage}伤害。,75,核心,正式,待接入,1,1,1,1,
M06,mech_fire_explosion_sum,火爆Σ伤害,元素反应,元素格,on_fire_layers_changed,fire>=3 and enemy_on_cell,"{""formula"":""sum_1_to_N""}",伤害=1+...+N；引爆后火清零,{cell} 火{layers}层引爆：伤害{damage}，火{layers}->0。,0,规则,正式,待接入,1,1,1,1,
M07,mech_fire_trap,空格爆火陷阱,元素反应,元素格,on_fire_layers_changed,fire>=3 and empty_cell,{},空格火3+保留为一次性爆火陷阱,{cell} 火{layers}层形成爆火陷阱。,0,规则,正式,待接入,1,1,1,1,
M08,mech_water_catalyst_seed,水汽催化,水/催化,宠物/元素格,on_add_water,冲浪鸭造成水层,"{""consume_water"":1,""multiplier"":2}",下一次我方添加元素时消耗1水，使本次元素层翻倍,水汽催化：消耗1水，本次{element}+{base}->{doubled}。,21,高,正式,待接入,1,1,1,1,
M09,mech_wind_gather_fire,风聚火,风/聚合,宠物/元素格,on_wind_action,目标周围有火层,"{""amount"":2}",把周围最多2层火搬运到目标格,旋风收束：{from} 火{n}->目标格。,39,高,正式,待接入,1,1,1,1,
M10,mech_borrow_fire_spread,借火扩散,火/扩散,宠物,on_hit,命中已有火层格,"{""copy"":1}",复制1层火到相邻空格或敌人格，不二次复制,焰巫狐借火扩散：{cell} 扩出1层火。,39,中,正式,待接入,1,1,1,1,
M11,mech_step_fire_stack,踏焰聚火,火/堆层,宠物,on_hit,覆盖格有敌方单位,"{""extra_fire"":1}",大型火攻击命中敌人脚下额外+1火,火麒麟踏焰聚火：{target} 脚下火+1。,35,中,正式,待接入,1,1,1,1,
M12,mech_fire_execute_spread,余焰追击,火/收割,宠物,on_kill,击杀带火层敌人,"{""add_fire"":2,""limit"":2}",给最近敌方脚下+2火，达到阈值可爆,朱雀余焰追击：{target} 脚下+2火。,54,高,正式,待接入,1,1,1,1,
M13,mech_high_fire_breath,腾炎高焰,火/高层,宠物,on_attack,目标格已有火,"{""extra_fire"":2}",对已有火格额外+2火，服务高层爆点,腾炎龙高焰：{cell} 额外+2火。,73,高,正式,待接入,1,1,1,1,
M14,mech_hp_regen_5,生命值每回合+5,恢复,宠物,round_end,存活,"{""heal"":5}",回合末回复5HP,{unit} 生命回复5。,8,低,正式,待接入,1,1,1,1,
M15,mech_regen_10,再生10,恢复,宠物,round_end,存活,"{""heal"":10}",回合末回复10HP,{unit} 再生10。,8,中,正式,待接入,1,1,1,1,
M16,mech_shield_max,护盾max,护盾,宠物,round_end,存活,{},盾恢复到最大盾,{unit} 护盾恢复到最大。,8,中,正式,待接入,1,1,1,1,
M17,mech_life_double_each_round,每回合生命值翻倍,特殊,宠物,round_end,存活,"{""cap"":""by_design""}",机制占位：每回合生命值/辅元素相关成长；火绒狐高机制件,火绒狐特殊机制触发。,16,高,占位,待接入,1,1,1,1,
M18,mech_first_secondary_double,首击辅元素翻倍,附魔,行动块,on_first_hit_unit,本回合第一次命中单位,"{""secondary_multiplier"":2}",副格附元素翻倍,首击辅燃：副格元素翻倍。,0,中,正式,待接入,1,1,1,1,
M19,mech_water_poison_domain,水毒续航领域,领域/水,英雄/核心,battle_start,水灵儿上场,{},水格使敌方中毒、我方回血；无水核心时水只记录层数,水毒领域生效。,80,核心,设计中,待接入,1,1,1,1,
M20,mech_water_heal_seed,水润回复,水/恢复,宠物,round_end,友方在水格,"{""heal"":3}",水格上友方回复，水核心时增强,鲁米儿水润回复。,17,中,设计中,待接入,1,1,1,1,
M21,mech_water_slow,水流减速,水/控线,宠物,on_unit_enter_cell,敌方进入水格,"{""move_cost_add"":1}",敌方进入/离开水格移动消耗+1,水流减速：{unit} 移动消耗+1。,31,中,正式,待接入,1,1,1,1,
M22,mech_water_line_control,水线牵制,水/控线,宠物,on_attack,命中水格/水层目标,{},延展水线并限制敌方行动,疾旋鼬牵制水线。,32,中,设计中,待接入,1,1,1,1,
M23,mech_water_drag,滑水拉线,水/位移,宠物,on_hit,命中敌方,"{""pull"":1}",把目标向水格方向拉1格,滑水蛇拖拽目标。,32,中,设计中,待接入,1,1,1,1,
M24,mech_water_shield_domain,水盾领域,领域/水,英雄/核心,battle_start,雪猛犸上场,{},水格/水宠提供护盾续航,水盾领域生效。,80,核心,设计中,待接入,1,1,1,1,
M25,mech_tide_overflow,覆海潮涌,水/铺场,宠物,on_water_stack,水层达到阈值,{},水层溢出到相邻格,覆海龙潮涌。,91,高,设计中,待接入,1,1,1,1,
M26,mech_wind_mark,风痕标记,风/标记,宠物,on_hit,命中敌方,"{""mark"":1}",给目标挂风痕，后续位移/聚合更强,伏特喵施加风痕。,10,低,设计中,待接入,1,1,1,1,
M27,mech_wind_seed,风种,风/铺场,宠物,on_attack,命中格,{},生成风层，供风聚合/风核心使用,新叶猿留下风种。,8,低,设计中,待接入,1,1,1,1,
M28,mech_charge_attack,冲锋突击,普通技能,宠物/复制体,after_move,移动后仍有行动,"{""bonus_damage"":4}",本回合第一次攻击+4伤害,骑士蜂冲锋，伤害+4。,41,高,正式,待接入,1,1,1,1,
M29,mech_support_shield,支援加盾,普通技能,宠物/复制体,round_end,相邻友方复制体,"{""shield"":6}",给相邻1个友方+6盾，优先皮皮鸡/骑士蜂,精灵龙支援，{target} +6盾。,44,高,正式,待接入,1,1,1,1,
M30,mech_wind_push_control,风控推拉,风/控制,宠物,on_hit,命中敌方,"{""push"":1}",推/拉敌人并可触发地块,暴电熊风控。,40,中,设计中,待接入,1,1,1,1,
