遗物ID,遗物名,类型,品质,触发,机制ID,机制名(自动),参数,关联宠物ID,名称(自动),关联商店池,关联奖励池,解锁日,权重,状态,备注
relic_001,余火杯,遗物,青铜,火爆后,mech_fire_trap,空格爆火陷阱,"{""fire"":1}",pal_072,融焰娘,elem_火,reward_fire,1,100,正式,火爆后保留1层余火，偏火核心
relic_002,蒸汽瓶,遗物,白银,水催化时,mech_water_catalyst_seed,水汽催化,"{""extra_fire"":1}",pal_006,冲浪鸭,elem_水,reward_water,3,95,正式,水催化额外+1火，服务火水联动
relic_003,旋风炉,遗物,白银,风聚火时,mech_wind_gather_fire,风聚火,"{""amount"":1}",pal_038,疾风隼,elem_风,reward_wind,4,90,正式,风聚火额外搬1层
relic_004,爆心徽记,祝福,黄金,战斗开始,mech_fire_core_domain,火脉爆心,"{""threshold"":3}",pal_072,融焰娘,trial_day7_fire,reward_day7_fire,7,80,正式,火核心试炼奖励
relic_005,小灵号角,祝福,黄金,召唤时,mech_summon_domain,宠物流领域,"{""hp"":2}",pal_063,秘斯媞雅,role_召唤,reward_summon,7,75,正式,宠物流核心奖励
relic_006,潮汐药瓶,祝福,黄金,回合末,mech_water_poison_domain,水毒续航领域,"{""heal_cap"":3}",pal_085,水灵儿,role_水毒,reward_water_core,7,75,正式,水毒核心奖励
relic_007,护盾碎铃,遗物,白银,破盾时,mech_shield_regen,盾重生,"{""delay"":1}",pal_003,皮皮鸡,elem_火,reward_pT2,2,88,正式,延缓敌方盾重生，占位
relic_008,冲锋风铃,遗物,青铜,移动后攻击,mech_charge_attack,冲锋突击,"{""bonus"":2}",pal_050,骑士蜂,elem_风,reward_wind,3,85,正式,突击型普通技能
relic_009,灵光护符,祝福,白银,回合末,mech_support_shield,支援加盾,"{""shield"":3}",pal_083,精灵龙,elem_风,reward_wind,3,84,正式,支援型普通技能
relic_010,高焰鳞片,遗物,黄金,已有火层攻击,mech_high_fire_breath,腾炎高焰,"{""extra_fire"":1}",pal_114,腾炎龙,elem_火,reward_fire,8,70,正式,高火层构筑
