object_id,object_no,source_type,source_snapshot_id,current_version_boundary_snapshot_id,identity_confirmed,rule_verified,rule_unresolved_fields,source_slug,source_name,source_tier,source_size,source_tags,source_relation_count,source_stall_ids,local_shop_count,local_shop_ids,primary_enchant,pet_id,pet_name,source_url,source_effect,design_note,owner_hero_id,catalog_status,build_tags,tag_references
bz_van_001,1,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",ambergris,Ambergris,bronze,small,"aquatic, relic, economyreference, value, heal",10,"merchant_nautica, merchant_ande, merchant_goldie, merchant_herma, merchant_jay-jay, merchant_kina, merchant_luxe, merchant_midsworth, merchant_prospero, merchant_quixel",10,"night_base, elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_输出, role_机动",Restorative,pal_001,棉角羊,https://bazaar-builds.net/db/items/ambergris.html,"heal equal to 1 / 2 / 3 / 4 times this item's value when you buy another aquatic item, this gains 1 / 2 / 3 / 4 value.",一对一确认来源对象。,hero_001,reference_reserved,"aquatic, relic, value, heal",economy
bz_van_002,2,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",anchor,Anchor,gold,medium,"aquatic, weapon, tool, damage, haste",10,"merchant_nautica, merchant_tok-s-clocks, merchant_aila, merchant_barkun, merchant_chronos, merchant_goldie, merchant_jay-jay, merchant_luxe, merchant_mittel, merchant_orion",10,"night_base, elem_水, elem_雷, elem_无, role_坦克, role_控制, role_输出, special_merchant, elite_high, role_远点压制",Turbo,pal_002,灰尾狸,https://bazaar-builds.net/db/items/anchor.html,"deal damage equal to 20 → 30% of an enemy's max health when you use an adjacent item, this is hasted for 2 seconds.",一对一确认来源对象。,hero_001,reference_reserved,"aquatic, weapon, tool, damage, haste",
bz_van_003,3,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",arbalest,Arbalest,silver,medium,"weapon, damage, ammo, hastereference",10,"merchant_colt, merchant_tok-s-clocks, merchant_aila, merchant_barkun, merchant_chronos, merchant_goldie, merchant_jay-jay, merchant_luxe, merchant_mittel, merchant_quixel",10,"night_base, elem_水, elem_雷, elem_无, role_召唤, role_坦克, role_控制, role_机动, special_merchant, elite_high",Turbo,pal_003,芦花鸡,https://bazaar-builds.net/db/items/arbalest.html,"deal 100 damage when you haste, this gains 50 / 75 / 100 damage for the fight.",一对一确认来源对象。,hero_001,reference_reserved,"weapon, damage, ammo",haste
bz_van_004,4,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",astrolabe,Astrolabe,silver,medium,"tool, haste",10,"merchant_tok-s-clocks, merchant_barkun, merchant_chronos, merchant_goldie, merchant_jay-jay, merchant_kina, merchant_luxe, merchant_mittel, merchant_orion, merchant_quixel",10,"elem_水, elem_雷, elem_冰, elem_无, role_召唤, role_坦克, role_控制, special_merchant, elite_high, role_远点压制",Turbo,pal_004,青藤鼠,https://bazaar-builds.net/db/items/astrolabe.html,"haste 2 / 3 / 4 items for 1 second when you use another non-weapon item, charge this 1 second.",一对一确认来源对象。,hero_001,reference_reserved,"tool, haste",
bz_van_005,5,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",ballista,Ballista,gold,large,"weapon, damage, ammo",10,"merchant_colt, merchant_aila, merchant_barkun, merchant_goldie, merchant_jay-jay, merchant_luxe, merchant_midsworth, merchant_pol, merchant_serafina, merchant_valpak",10,"night_base, elem_水, elem_雷, elem_地, elem_暗, role_坦克, role_控制, role_治疗, role_机动, role_风系铺场",Deadly,pal_005,赤尾狐,https://bazaar-builds.net/db/items/ballista.html,"deal 150 → 300 damage when you use another ammo item, this gains 1 multicast for the fight.",一对一确认来源对象。,hero_001,reference_reserved,"weapon, damage, ammo",
bz_van_006,6,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",barrel,Barrel,bronze,medium,shield,10,"merchant_kev-s-armory, merchant_barkun, merchant_goldie, merchant_jay-jay, merchant_kina, merchant_luxe, merchant_mittel, merchant_proteus, merchant_quixel, merchant_serafina",10,"elem_水, elem_雷, elem_冰, elem_龙, elem_无, role_召唤, role_坦克, role_控制, role_治疗, tier_pT3",Shielded,pal_006,碧水鸭,https://bazaar-builds.net/db/items/barrel.html,"shield 20 when you use an adjacent item, this gains 10 / 20 / 30 / 40 shield for the fight.",一对一确认来源对象。,hero_001,reference_reserved,shield,
bz_van_007,7,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",bayonet,Bayonet,bronze,small,"weapon, damage",10,"merchant_aila, merchant_ande, merchant_goldie, merchant_jay-jay, merchant_luxe, merchant_midsworth, merchant_quixel, merchant_serafina, merchant_silvia, merchant_valpak",10,"night_base, elem_火, elem_雷, elem_地, elem_暗, role_召唤, role_坦克, role_控制, role_治疗, role_经济",Deadly,pal_007,雷须猫,https://bazaar-builds.net/db/items/bayonet.html,"when you use the weapon to the left of this, deal 10 / 20 / 40 / 80 damage.",一对一确认来源对象。,hero_001,reference_reserved,"weapon, damage",
bz_van_008,8,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",beach-ball,Beach Ball,bronze,medium,"aquatic, toy, haste",10,"merchant_nautica, merchant_tok-s-clocks, merchant_barkun, merchant_chronos, merchant_goldie, merchant_jay-jay, merchant_kina, merchant_luxe, merchant_mittel, merchant_quixel",10,"elem_水, elem_雷, elem_冰, elem_无, role_召唤, role_坦克, role_控制, role_输出, special_merchant, elite_high",Turbo,pal_008,藤甲猿,https://bazaar-builds.net/db/items/beach-ball.html,haste 2 / 3 / 4 / 5 aquatic or toy item(s) for 2 seconds,一对一确认来源对象。,hero_001,reference_reserved,"aquatic, toy, haste",
bz_van_009,9,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",bilge-worm,Bilge Worm,bronze,small,"weapon, aquatic, damage",10,"merchant_nautica, merchant_aila, merchant_ande, merchant_goldie, merchant_jay-jay, merchant_luxe, merchant_midsworth, merchant_quixel, merchant_serafina, merchant_silvia",10,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_输出, role_经济",Deadly,pal_009,火角鹿,https://bazaar-builds.net/db/items/bilge-worm.html,"when your enemy uses their leftmost item, deal 10 / 20 / 40 / 80 damage.",一对一确认来源对象。,hero_001,reference_reserved,"weapon, aquatic, damage",
bz_van_010,10,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",bladed-hoverboard,Bladed Hoverboard,silver,medium,"weapon, tech, aquatic, vehicle, damage, flying",10,"merchant_nautica, merchant_pinfeather, merchant_the-tester, merchant_aero, merchant_aila, merchant_barkun, merchant_goldie, merchant_jay-jay, merchant_luxe, merchant_mittel",10,"night_base, elem_火, elem_水, elem_草, elem_雷, elem_无, role_坦克, role_控制, role_输出, role_抗压承伤",Deadly,pal_010,霜羽鹭,https://bazaar-builds.net/db/items/bladed-hoverboard.html,"when you use an adjacent item, deal 20 / 40 / 60 damage and it starts flying.",一对一确认来源对象。,hero_001,reference_reserved,"weapon, tech, aquatic, vehicle, damage, flying",
bz_van_011,11,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",blowgun,Blowgun,gold,small,"weapon, relic, damage, poison",10,"merchant_aila, merchant_ande, merchant_goldie, merchant_jay-jay, merchant_knightshade, merchant_luxe, merchant_midsworth, merchant_quixel, merchant_serafina, merchant_the-antiquarian",10,"night_base, elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_火系压制",Toxic,pal_011,冰背獭,https://bazaar-builds.net/db/items/blowgun.html,deal 2 damage poison equal to this item's damage,一对一确认来源对象。,hero_001,reference_reserved,"weapon, relic, damage, poison",
bz_van_012,12,item,snapshot_vanessa_legacy_catalog_v1,snapshot_the_bazaar_patch_18_0_boundary,true,false,"current_rule_match,structured_effects,quality_values,cooldown,buy_price,sell_price,ammo",blunderbuss,Blunderbuss,gold,medium,"weapon, damage, ammo, burnreference",10,"merchant_colt, merchant_aila, merchant_barkun, merchant_goldie, merchant_hef, merchant_jay-jay, merchant_luxe, merchant_mittel, merchant_quixel, merchant_serafina",10,"night_base, elem_水, elem_雷, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_机动, tier_pT2",Fiery,pal_012,电棘鼠,https://bazaar-builds.net/db/items/blunderbuss.html,"deal 15 damage when you burn, use this.",一对一确认来源对象。,hero_001,reference_reserved,"weapon, damage, ammo",burn
