item_skill_id,name_zh,description_zh,trigger_events,effect_ids,aura_ids,catalog_status
skill_brine_cannon,盐雾齐射,装填盐晶弹丸后向敌方船长开火。每个品质档都由独立效果记录决定伤害。,item_ready,"effect_brine_cannon_bronze_hit,effect_brine_cannon_silver_hit,effect_brine_cannon_gold_hit,effect_brine_cannon_diamond_hit",,formal
skill_patchwork_ram,拼板撞击,撞击敌方船长后为自身立即推进一格充能；伤害和推进均由正式档案解释。,item_ready,"effect_patchwork_ram_bronze_hit,effect_patchwork_ram_bronze_charge,effect_patchwork_ram_silver_hit,effect_patchwork_ram_silver_charge,effect_patchwork_ram_gold_hit,effect_patchwork_ram_gold_charge,effect_patchwork_ram_diamond_hit,effect_patchwork_ram_diamond_charge",,formal
skill_signal_flare,星火投射,点亮信标攻击敌方船长，并短暂加速自身后续充能。,item_ready,"effect_signal_flare_silver_hit,effect_signal_flare_silver_haste,effect_signal_flare_gold_hit,effect_signal_flare_gold_haste,effect_signal_flare_diamond_hit,effect_signal_flare_diamond_haste",,formal
skill_reef_hook,暗礁牵击,抛出礁铁钩攻击敌方船长，并拖慢敌方甲板最靠前的物品。,item_ready,"effect_reef_hook_bronze_hit,effect_reef_hook_bronze_slow,effect_reef_hook_silver_hit,effect_reef_hook_silver_slow,effect_reef_hook_gold_hit,effect_reef_hook_gold_slow,effect_reef_hook_diamond_hit,effect_reef_hook_diamond_slow",,formal
skill_storm_compass,风暴定向,罗盘释放冲击，并短暂冻结敌方甲板最靠前的物品。,item_ready,"effect_storm_compass_gold_hit,effect_storm_compass_gold_freeze,effect_storm_compass_diamond_hit,effect_storm_compass_diamond_freeze",,formal
skill_abyss_bell,深潮鸣响,深潮钟造成沉重震荡，并在鸣响后为自身装填一枚弹药。,item_ready,"effect_abyss_bell_diamond_hit,effect_abyss_bell_diamond_reload",,formal
skill_wake_echo_drum,回响追拍,鼓面自行震击敌方船长；另一件带弹药或武器标签的友方物品使用后，鼓声再追击一次；另一件带燃烧标签的友方物品成功施加燃烧后，自身推进充能。,"another_friendly_item_applied_burn, another_friendly_item_used, item_ready","effect_wake_echo_drum_bronze_ready,effect_wake_echo_drum_bronze_response,effect_wake_echo_drum_bronze_burn_response_charge,effect_wake_echo_drum_silver_ready,effect_wake_echo_drum_silver_response,effect_wake_echo_drum_silver_burn_response_charge,effect_wake_echo_drum_gold_ready,effect_wake_echo_drum_gold_response,effect_wake_echo_drum_gold_burn_response_charge,effect_wake_echo_drum_diamond_ready,effect_wake_echo_drum_diamond_response,effect_wake_echo_drum_diamond_burn_response_charge",,formal
skill_saltwind_capstan,绞索借力,绞盘到点时撞击敌方船长；另一件带工具标签的友方物品使用后，为绞盘推进充能。,"another_friendly_item_used, item_ready","effect_saltwind_capstan_bronze_ready,effect_saltwind_capstan_bronze_response,effect_saltwind_capstan_silver_ready,effect_saltwind_capstan_silver_response,effect_saltwind_capstan_gold_ready,effect_saltwind_capstan_gold_response,effect_saltwind_capstan_diamond_ready,effect_saltwind_capstan_diamond_response",,formal
skill_tidefin_launcher,潮脊补仓,投筒到点时耗费一枚弹药并发射泡沫弹；若本次使用使弹药耗尽，则获得护盾；另一件带水生标签的友方物品使用后，为投筒补充弹药。,"another_friendly_item_used, item_ready","effect_tidefin_launcher_bronze_depleted_shield,effect_tidefin_launcher_bronze_ready,effect_tidefin_launcher_bronze_response,effect_tidefin_launcher_silver_depleted_shield,effect_tidefin_launcher_silver_ready,effect_tidefin_launcher_silver_response,effect_tidefin_launcher_gold_depleted_shield,effect_tidefin_launcher_gold_ready,effect_tidefin_launcher_gold_response,effect_tidefin_launcher_diamond_depleted_shield,effect_tidefin_launcher_diamond_ready,effect_tidefin_launcher_diamond_response",,formal
skill_mistkelp_remedy_kit,雾藻回补,物品就绪时，为己方船长恢复生命；恢复后生命不会超过最大生命。战斗中，己方带武器标签的其他物品获得该品质的伤害加成与吸血；吸血只按实际造成的生命伤害结算。,item_ready,"effect_mistkelp_remedy_kit_bronze_heal,effect_mistkelp_remedy_kit_silver_heal,effect_mistkelp_remedy_kit_gold_heal,effect_mistkelp_remedy_kit_diamond_heal","aura_mistkelp_remedy_kit_bronze_weapon_damage,aura_mistkelp_remedy_kit_silver_weapon_damage,aura_mistkelp_remedy_kit_gold_weapon_damage,aura_mistkelp_remedy_kit_diamond_weapon_damage,aura_mistkelp_remedy_kit_bronze_weapon_lifesteal,aura_mistkelp_remedy_kit_silver_weapon_lifesteal,aura_mistkelp_remedy_kit_gold_weapon_lifesteal,aura_mistkelp_remedy_kit_diamond_weapon_lifesteal",formal
