upgrade_id,name,quality,category,operation_level,allowed_shape_sizes,effect,design_note,runtime_status
S01,护体,silver,passive,none,1|2|3,回合开始时，获得 15 点护盾。,,implemented
S02,自愈,silver,passive,none,1|2|3,回合开始时，恢复自身 20 点生命值。,,implemented
S03,壮体,silver,passive,none,1|2|3,回合开始时，最大生命值翻倍，但最大生命值最多不超过 30。,,implemented
S04,元素回响,silver,passive,none,1|2|3,造成元素伤害时，该元素伤害重复结算 1 次。,,implemented
S05,收尾暴击,silver,passive,none,2|3,本次行动的最后一击必定暴击。,更适合二格、三格、多段结算角色。,implemented
S06,连击倍增,silver,passive,none,2|3,第一击伤害减半，之后每一击都是前一击的 2 倍。,,implemented
S07,越战越勇,silver,passive,none,1|2|3,每击杀 5 个怪，永久 +1 攻击力。,,implemented
S08,本命爆发,silver,passive,none,1|2|3,如果自身携带和自己相同的元素，元素爆发翻倍。,,implemented
G01,攻守切换,gold,dualMode,low,1|2|3,每回合可在攻/守之间切换。攻形态伤害 +2；守形态回合开始获得 8 护盾。,,implemented
G02,稳爆切换,gold,dualMode,low,1|2|3,可在稳定/爆发之间切换。稳定形态攻击 +1；爆发形态本回合第一次命中伤害 +4。,,implemented
G03,金色核心格,gold,empoweredCell,none,1|2|3,每个行动形状中有 1 个金色核心格，核心格命中敌人时伤害 +3。,,implemented
G04,守护核心格,gold,empoweredCell,none,1|2|3,核心格覆盖友方时，该友方获得 8 护盾。,,implemented
G05,回春核心格,gold,empoweredCell,none,1|2|3,核心格覆盖友方时，恢复 6 生命。,,implemented
G06,破敌核心格,gold,empoweredCell,none,1|2|3,核心格命中敌人时，额外造成 2 点破甲伤害。,,implemented
G07,正向强化,gold,directionBonus,none,1|2|3,形状朝向正前方的最远格伤害 +3。,,implemented
G08,背向守势,gold,directionBonus,none,1|2|3,形状背后的格子若覆盖友方，该友方获得 10 护盾。,,implemented
G09,左右借势,gold,directionBonus,none,2|3,形状左右两侧格命中敌人时，各额外造成 1 点伤害。,,implemented
G10,终点重击,gold,empoweredCell,none,1|2|3,形状最远端格子命中敌人时，伤害 +4。,,implemented
G11,单挑,gold,empoweredCell,none,1,如果本次形状只命中 1 个敌人，伤害 +5。,,implemented
G12,点穴,gold,empoweredCell,none,1,命中敌人后，使该敌人下次受到伤害 +3。,,implemented
G13,隔山打牛,gold,directionBonus,none,1,隔点形状命中时，伤害 +4。,,implemented
