波次ID,天数,时段,回合,宠物ID,名称(自动),元素(自动),怪物定位(自动),HP(自动),攻(自动),防(自动),盾(自动),行动(自动),数量,位置,本行威胁(自动),设计目的,失败惩罚,奖励影响,备注
wave_d01_morning,1,上午,1,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,教学清场，先认识低血小怪与基准承击。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-1 / 资源-1 / 经济x0.9,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d01_morning,1,上午,2,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,教学清场，先认识低血小怪与基准承击。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-1 / 资源-1 / 经济x0.9,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d01_morning,1,上午,3,pal_022,遁地鼠,土,肉盾,25,1,0,0,2,1,front_cluster,38,教学清场，先认识低血小怪与基准承击。 让玩家第一次感知“不是所有怪都能一回合处理”。,城堡-1 / 资源-1 / 经济x0.9,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d01_morning,1,上午,4,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,mid_split,24,教学清场，先认识低血小怪与基准承击。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-1 / 资源-1 / 经济x0.9,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d01_morning,1,上午,5,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,back_corner,24,教学清场，先认识低血小怪与基准承击。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-1 / 资源-1 / 经济x0.9,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d01_afternoon,1,下午,1,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,教学破盾，开始区分普通兵与开场盾。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-2 / 资源-1 / 经济x0.87,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d01_afternoon,1,下午,2,pal_022,遁地鼠,土,肉盾,25,1,0,0,2,1,front_cluster,38,教学破盾，开始区分普通兵与开场盾。 让玩家第一次感知“不是所有怪都能一回合处理”。,城堡-2 / 资源-1 / 经济x0.87,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d01_afternoon,1,下午,3,pal_088,冰棘兽,水,护盾怪,15,2,0,6,3,1,mid_cluster,42,教学破盾，开始区分普通兵与开场盾。 把薄盾题引入战斗，不让玩家被厚盾低血直接劝退。,城堡-2 / 资源-1 / 经济x0.87,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d01_afternoon,1,下午,4,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,mid_split,24,教学破盾，开始区分普通兵与开场盾。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-2 / 资源-1 / 经济x0.87,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d01_afternoon,1,下午,5,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,back_corner,24,教学破盾，开始区分普通兵与开场盾。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-2 / 资源-1 / 经济x0.87,5回合内高奖；6-10回合每回合-6%；10回合失败,
