宠物ID,名称(自动),元素(自动),定位(自动),形状ID,形状名,形状分类,命中格数,方向,槽数,槽1元素,槽2元素,槽3元素,基础层数,行动类型,技能,机制ID,机制名(自动),接入状态,备注
pal_001,棉悠悠,火,数量题,A2_double_stab,二连刺,二连,2,默认向右,3,火,火,火,1,输出,buffAllSummons,mech_hp_regen_5,生命值每回合+5,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_002,捣蛋猫,火,通用,A2_single_stab,单点刺,单体,1,默认向右,3,火,火,火,1,输出,castleReduce,mech_regen_10,再生10,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_003,皮皮鸡,火,护盾题,B1_sweep_three,横扫三格,横排,3,默认向右,3,火,火,火,1,输出,buffAllSummons,mech_shield_max,护盾max,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_004,翠叶鼠,火,通用,A3_gap2_stab,隔二刺,单体远格,1,默认向右,3,火,火,火,1,输出,healAmpBonus,mech_regen_10,再生10,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_005,火绒狐,火,点火启动,B2_fire_gap_double,隔点二刺,二连隔点,2,默认向右,3,火,火,火,1,输出,spaceExplosionBonus,mech_life_double_each_round,每回合生命值翻倍,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_009,燎火鹿,火,通用,B1_sweep_three,横扫三格,横排,3,默认向右,3,火,火,火,1,输出,frontlineBurn,mech_burn_frontline,,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_040,炎魔羊,火,通用,B1_sweep_three,横扫三格,横排,3,默认向右,3,火,火,火,1,输出,counterBurn,mech_counter_fire,,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_058,火麒麟,火,通用,B1_fire_sweep_three,火踏横扫三格,横排,3,默认向右,3,火,火,火,1,输出,fireStacker,mech_step_fire_stack,踏焰聚火,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_079,焰巫狐,火,通用,B2_fire_spread_double,引火二连,二连,2,默认向右,3,火,火,火,1,输出,borrowFireSpread,mech_borrow_fire_spread,借火扩散,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_072,融焰娘,火,火核心,B2_fire_core_double,爆心二连,二连,2,默认向右,3,火,火,火,1,核心领域,fireCoreDomain,mech_fire_core_domain,火脉爆心,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_115,朱雀,火,通用,A2_fire_feather_single,火羽单点刺,单体,1,默认向右,3,火,火,火,1,输出,emberExecute,mech_fire_execute_spread,余焰追击,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_114,腾炎龙,火,通用,B3_front_sweep,前二横扫,前排范围,3,默认向右,3,火,火,火,1,输出,highFireBreath,mech_high_fire_breath,腾炎高焰,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_006,冲浪鸭,水,水催化,A2_water_single,单点水冲,单体,1,默认向右,3,水,水,水,1,催化/控线,waterCatalyst,mech_water_catalyst_seed,水汽催化,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_010,企丸丸,水,通用,A2_water_double,二连水冲,二连,2,默认向右,3,水,水,水,1,输出,bubbleShield,mech_bubble_shield,,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_025,鲁米儿,水,通用,A2_water_single,单点水冲,单体,1,默认向右,3,水,水,水,1,催化/控线,waterHealSeed,mech_water_heal_seed,水润回复,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_031,鲨小子,水,通用,B1_sweep_three,横扫三格,横排,3,默认向右,3,水,水,水,1,催化/控线,waterPressure,mech_water_pressure,,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_053,毛掸儿,水,通用,T1_front_t,标准前置T,T形,3,默认向右,3,水,水,水,1,催化/控线,waterSlow,mech_water_slow,水流减速,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_055,疾旋鼬,水,通用,T1_front_t,标准前置T,T形,3,默认向右,3,水,水,水,1,催化/控线,waterLineControl,mech_water_line_control,水线牵制,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_066,滑水蛇,水,通用,T1_front_t,标准前置T,T形,3,默认向右,3,水,水,水,1,催化/控线,waterDrag,mech_water_drag,滑水拉线,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_085,水灵儿,水,水毒核心,T1_front_t,标准前置T,T形,3,默认向右,3,水,水,水,1,核心领域,waterPoisonDomain,mech_water_poison_domain,水毒续航领域,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_101,雪猛犸,水,通用,B1_sweep_three,横扫三格,横排,3,默认向右,3,水,水,水,1,核心领域,waterShieldDomain,mech_water_shield_domain,水盾领域,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_113,覆海龙,水,通用,T1_front_t,标准前置T,T形,3,默认向右,3,水,水,水,1,输出,tideOverflow,mech_tide_overflow,覆海潮涌,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_007,伏特喵,风,通用,A2_wind_single,单点风击,单体,1,默认向右,3,风,风,风,1,聚合/控制,windMark,mech_wind_mark,风痕标记,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_008,新叶猿,风,通用,B1_sweep_three,横扫三格,横排,3,默认向右,3,风,风,风,1,聚合/控制,windSeed,mech_wind_seed,风种,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_038,疾风隼,风,风聚火,B2_wind_gather,旋风收束,二连聚合,2,默认向右,3,风,风,风,1,聚合/控制,windGatherFire,mech_wind_gather_fire,风聚火,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_050,骑士蜂,风,突击题,A2_single_stab,单点刺,单体,1,默认向右,3,风,风,风,1,输出,chargeAttack,mech_charge_attack,冲锋突击,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_083,精灵龙,风,支援题,A2_support_double,灵光二连,二连,2,默认向右,3,风,风,风,1,输出,supportShield,mech_support_shield,支援加盾,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_117,暴电熊,风,通用,C1_front_2x2,前方2×2,方块,4,默认向右,3,风,风,风,1,聚合/控制,windControl,mech_wind_push_control,风控推拉,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_063,秘斯媞雅,风,宠物流核心,A2_single_stab,单点刺,单体,1,默认向右,3,风,风,风,1,核心领域,summonDomain,mech_summon_domain,宠物流领域,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
pal_127,空涡龙,风,通用,C1_front_2x2,前方2×2,方块,4,默认向右,3,风,风,风,1,聚合/控制,voidGather,mech_wind_core_gather,空涡聚合核心,正式,同宠3槽默认同形状；详细坐标见YAML shapes。
