source_node_type,source_slug,source_name,source_rule,source_object_count,stall_id,unlock_day,close_day,day1_status,day2_status,day3_status,offer_slots,free_rerolls,local_shop_id,local_shop_name,mapping_rule,catalog_status,playable_item_count,encounter_status,offer_mode,reward_profile_id,reward_profile_kind,reward_profile_rule,reward_item_ids,reward_failure_code
merchant,aila,Aila,sells weapons,64,merchant_aila,1,,开放,开放,开放,3,1,night_base,寅将军,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,61,playable,pet,shop_reward.merchant_aila,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,herma,Herma,sells heal and regen items,6,merchant_herma,4,,未开放,未开放,未开放,3,1,night_base,寅将军,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,6,playable,pet,shop_reward.merchant_herma,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,aero,Aero,sells vehicles or drones,9,merchant_aero,6,,未开放,未开放,未开放,3,1,elem_火,熊山君,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,9,playable,pet,shop_reward.merchant_aero,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,ande,Ande,sells small items,58,merchant_ande,1,,开放,开放,开放,3,1,elem_火,熊山君,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,55,playable,pet,shop_reward.merchant_ande,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,barkun,Barkun,sells medium and large items. buys your small items at +1 value.,80,merchant_barkun,1,,开放,开放,开放,3,1,elem_水,特处士,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,80,playable,pet,shop_reward.merchant_barkun,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,adira,Adira,teaches diamond-tier skills,138,trainer_adira,5,,未开放,未开放,未开放,3,1,elem_水,特处士,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_adira,training_service,explicit_item_ids,"build_skill_a_strike_2, build_skill_b_guard_2, skill_hero_vitality_1",SHOP_REWARD_PROFILE_INVALID
merchant,curio,Curio,sells Bronze-tier Neutral items; pure-pet adaptation uses Bronze package pets,31,merchant_curio,1,,开放,开放,开放,10,1,elem_草,刘伯钦,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,merchant_service,shop_reward.merchant_curio,merchant_service,explicit_item_ids,"upgrade_first_pet, upgrade_duplicate_first_pet, economy_free_refresh, economy_discount_50, build_hero_vitality_1, build_economy_brokerage_1",SHOP_REWARD_PROFILE_INVALID
merchant,pinfeather,Pinfeather,sells flying items from any hero,9,merchant_pinfeather,6,,未开放,未开放,未开放,3,1,elem_草,刘伯钦,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,6,playable,pet,shop_reward.merchant_pinfeather,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,jay-jay,Jay Jay,sells items.,137,merchant_jay-jay,1,,开放,开放,开放,3,1,elem_雷,孙悟空,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,135,playable,pet,shop_reward.merchant_jay-jay,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,argenta,Argenta,teaches silver-tier skills,88,trainer_argenta,5,,未开放,未开放,未开放,3,1,elem_雷,孙悟空,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_argenta,training_service,explicit_item_ids,"skill_party_attack_1, skill_party_defense_1, skill_party_shield_1",SHOP_REWARD_PROFILE_INVALID
merchant,kina,Kina,sells non-weapon items.,77,merchant_kina,1,1,开放,已离场,已离场,3,1,elem_冰,小白龙,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,74,playable,pet,shop_reward.merchant_kina,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,the-antiquarian,The Antiquarian,sells relics from any hero,6,merchant_the-antiquarian,5,,未开放,未开放,未开放,3,1,elem_冰,小白龙,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,3,playable,pet,shop_reward.merchant_the-antiquarian,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,midsworth,Midsworth,sells small and large items. buys your medium items at +2 value.,67,merchant_midsworth,1,,开放,开放,开放,3,1,elem_地,金池长老,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,64,playable,pet,shop_reward.merchant_midsworth,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,old-zane,Old Zane,teaches skills unique to vanessa,22,trainer_old-zane,4,,未开放,未开放,未开放,3,1,elem_地,金池长老,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_old-zane,training_service,explicit_item_ids,"build_skill_a_strike_2, build_skill_b_guard_2, skill_hero_vitality_1",SHOP_REWARD_PROFILE_INVALID
merchant,mr-morland,Mr. Morland,sells property items,6,merchant_mr-morland,5,,未开放,未开放,未开放,3,1,elem_暗,黑熊精,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,6,playable,pet,shop_reward.merchant_mr-morland,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,valpak,Valpak,sells items. always sells discounted items.,14,merchant_valpak,1,,开放,开放,开放,3,1,elem_暗,黑熊精,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,11,playable,pet,shop_reward.merchant_valpak,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,proteus,Proteus,Sells Shield items,7,merchant_proteus,4,,未开放,未开放,未开放,3,1,elem_龙,凌虚子,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,7,playable,pet,shop_reward.merchant_proteus,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,nufu,Nufu,sells skills,138,trainer_nufu,1,,开放,开放,开放,3,1,elem_龙,凌虚子,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_nufu,training_service,explicit_item_ids,"skill_party_attack_1, skill_hero_vitality_1, skill_party_defense_1, skill_party_vitality_1, skill_party_shield_1, build_skill_a_strike_1, build_skill_b_guard_1",SHOP_REWARD_PROFILE_INVALID
merchant,mittel,Mittel,sells medium items,56,merchant_mittel,2,,未开放,开放,开放,3,1,elem_无,苍狼精,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,53,playable,pet,shop_reward.merchant_mittel,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,orlin,Orlin,teaches gold-tier skills,121,trainer_orlin,5,,未开放,未开放,未开放,3,1,elem_无,苍狼精,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_orlin,training_service,explicit_item_ids,"build_skill_a_strike_2, build_skill_b_guard_2, skill_hero_vitality_1",SHOP_REWARD_PROFILE_INVALID
merchant,quixel,Quixel,sells small and medium items. buys your large items at +3 value.,78,merchant_quixel,2,,未开放,开放,开放,3,1,role_召唤,猪八戒,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,78,playable,pet,shop_reward.merchant_quixel,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,vermir,Vermir,teaches crit skills,33,trainer_vermir,6,,未开放,未开放,未开放,3,1,role_召唤,猪八戒,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_vermir,training_service,explicit_item_ids,"skill_party_attack_1, build_skill_a_strike_1, build_skill_a_strike_2",SHOP_REWARD_PROFILE_INVALID
merchant,goldie,Goldie,sells gold-tier items,153,merchant_goldie,4,,未开放,未开放,未开放,3,1,role_坦克,黄风怪,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,133,playable,pet,shop_reward.merchant_goldie,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,ryukon,Ryukon,teaches weapon skills,39,trainer_ryukon,5,,未开放,未开放,未开放,3,1,role_坦克,黄风怪,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_ryukon,training_service,explicit_item_ids,"skill_party_attack_1, build_skill_a_strike_1, build_skill_a_strike_2",SHOP_REWARD_PROFILE_INVALID
merchant,luxe,Luxe,sells diamond-tier items,135,merchant_luxe,4,,未开放,未开放,未开放,3,1,role_控制,灵吉菩萨,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,132,playable,pet,shop_reward.merchant_luxe,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,bjorn,Bjorn,teaches freeze skills,10,trainer_bjorn,6,,未开放,未开放,未开放,3,1,role_控制,灵吉菩萨,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_bjorn,training_service,explicit_item_ids,"skill_party_shield_1, skill_party_defense_1, build_skill_b_guard_2",SHOP_REWARD_PROFILE_INVALID
merchant,serafina,Serafina,sells enchanted items,66,merchant_serafina,5,,未开放,未开放,未开放,3,1,role_治疗,沙悟净,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,63,playable,pet,shop_reward.merchant_serafina,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,malafang,Malafang,teaches burn skills,21,trainer_malafang,5,,未开放,未开放,未开放,3,1,role_治疗,沙悟净,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_malafang,training_service,explicit_item_ids,"skill_party_attack_1, build_skill_a_strike_1, build_skill_a_strike_2",SHOP_REWARD_PROFILE_INVALID
merchant,nautica,Nautica,sells aquatic items,64,merchant_nautica,6,,未开放,未开放,未开放,3,1,role_输出,沙僧,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,61,playable,pet,shop_reward.merchant_nautica,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,professor-riggle,Professor Riggle,teaches poison skills,17,trainer_professor-riggle,6,,未开放,未开放,未开放,3,1,role_输出,沙僧,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_professor-riggle,training_service,explicit_item_ids,"skill_party_defense_1, skill_party_attack_1, build_skill_b_guard_1",SHOP_REWARD_PROFILE_INVALID
merchant,silvia,Silvia,sells silver-tier items,71,merchant_silvia,6,,未开放,未开放,未开放,3,1,role_经济,黎山老母,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,23,playable,pet,shop_reward.merchant_silvia,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,slohmor-lumbra,Slohmor Lumbra,teaches slow skills,12,trainer_slohmor-lumbra,5,,未开放,未开放,未开放,3,1,role_经济,黎山老母,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_slohmor-lumbra,training_service,explicit_item_ids,"skill_party_defense_1, skill_party_shield_1, build_skill_b_guard_1",SHOP_REWARD_PROFILE_INVALID
merchant,colt,Colt,sells ammo items,33,merchant_colt,6,,未开放,未开放,未开放,3,1,role_机动,观音,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,30,playable,pet,shop_reward.merchant_colt,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,prospero,Prospero,sells economic items from any hero,3,merchant_prospero,6,,未开放,未开放,未开放,3,1,role_机动,观音,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,3,playable,pet,shop_reward.merchant_prospero,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
