tag_id,zh_label,category,description,sort_order,catalog_status
ammo,弹药,identity,使用或关心弹药资源。,1,playable
apparel,装备,identity,属于穿戴装备类构筑身份。,2,playable
aquatic,水生,identity,水生生物或海洋构筑身份。,3,playable
burn,燃烧,combat,产生或关心燃烧。,4,playable
charge,充能,combat,推进技能或资源充能。,5,playable
cooldown,冷却,combat,改变或关心冷却。,6,playable
crit,暴击,combat,产生或关心暴击。,7,playable
damage,伤害,combat,造成或关心直接伤害。,8,playable
economy,经济,economy,影响金币、价格或局外收益。,9,playable
experience,经验,economy,产生或关心英雄经验。,10,playable
flying,飞行,identity,具有或关心飞行身份。,11,playable
food,食物,identity,属于食物类构筑身份。,12,playable
freeze,冻结,combat,产生或关心冻结。,13,playable
friend,伙伴,identity,属于伙伴类构筑身份。,14,playable
gold,金币,economy,直接产生或关心金币。,15,playable
haste,加速,combat,产生、获得或关心加速。,16,playable
heal,治疗,combat,产生或关心治疗。,17,playable
poison,中毒,combat,产生或关心中毒。,18,playable
property,设施,identity,属于设施或据点类构筑身份。,19,playable
ray,鳐类,identity,属于鳐类构筑身份。,20,playable
regen,再生,combat,产生或关心持续恢复。,21,playable
relic,遗物,identity,属于遗物类构筑身份。,22,playable
shield,护盾,combat,产生或关心护盾。,23,playable
slow,减速,combat,产生或关心减速。,24,playable
tech,科技,identity,属于科技类构筑身份。,25,playable
tool,工具,identity,属于工具类构筑身份。,26,playable
toy,玩具,identity,属于玩具类构筑身份。,27,playable
trap,陷阱,identity,属于陷阱类构筑身份。,28,playable
value,价值,economy,影响出售价值或价值成长。,29,playable
vehicle,载具,identity,属于载具类构筑身份。,30,playable
weapon,武器,identity,可作为武器构筑成员。,31,playable
